cl	scl	ord	fam	gen	sp	ref	newref	famlab	genlab	splab	cod	dispcat	disp	area	fruit	leng	diam	frfm	pdm	sdm	seeds	seedm	ry	kjg	kjfr	pcw	lip	pro	nsc	ash	fib
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Panax	quinquefolius	37	22	ARALIACE	Panax	quinquef	PQUI	Birds		NAmerica	Berry1	NA	NA	0.29	0.01	NA	2	NA	2.4	18.33	0.13	95.8	NA	0.09	NA	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Polyscias	australianum	43	4	ARALIACE	Polyscia	australi	PAUS	Birds		Australasia	Drupe1	7.5	6.5	0.19	0.02	NA	NA	NA	10.3	NA	NA	87.4	0.04	0.07	NA	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Polyscias	elegans	43	4	ARALIACE	Polyscia	elegans	PELE	Birds		Australasia	Drupe1	6	4	0.05	0.01	NA	NA	NA	15.5	NA	NA	73.6	0.23	0.06	NA	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Polyscias	fulva	70	14	ARALIACE	Polyscia	sambucif	PSAM	Birds		Australasia	Drupe1	NA	NA	0.11	0.01	0.01	2	0	12.3	NA	NA	85.6	NA	0.03	0.31	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Polyscias	sambucifolia	61	8	ARALIACE	Polyscia	fulva	PFUL	Mixed		Africa	Drupe1	4.5	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Schefflera	abyssinica	61	8	ARALIACE	Scheffle	abyssini	SABY	Birds		Africa	Drupe1	5.5	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Schefflera	elliptica	73	31	ARALIACE	Scheffle	elliptic	SELL	Birds		Australasia	Berry2	NA	NA	0.12	NA	NA	6.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Schefflera	pachystyla	39	3	ARALIACE	Scheffle	pachysty	SPAC	Birds		Australasia	Berry2	15	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Schefflera	paraensis	71	9	ARALIACE	Scheffle	paraensi	SPAR	Birds		NTAmerica	Berry2	14	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Schefflera	umbellifera	61	8	ARALIACE	Scheffle	umbellif	SUMB	Birds		Africa	Drupe1	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
