FAMILY	GENUS	SPECIES	NEWREF	REFERENCE
LAURACEAE	Nectandra	davidsoniana	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Nectandra	gentlei	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Nectandra	hypoglauca	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Nectandra	salicina1	37	Snow, B.K. (1977)
LAURACEAE	Nectandra	salicina2	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Nectandra	sp.nc	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Nectandra	sp.nv	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Neolitsea	dealbata	4	Crome, F.H.J. (1975)
LAURACEAE	Noid	noid1	9	Erard, C., M. Thery and D. Sabatier (1989)
LAURACEAE	Noid	noid2	9	Erard, C., M. Thery and D. Sabatier (1989)
